Lat,Lon,Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
-15.800000,45.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,ZOVA 4,2025-03-01T07:00:00Z,2025-11-30T07:00:00Z,TRAWLERS,FISHING,647141304,,5RZP,2020-02-04T06:31:41Z,2026-03-20T08:46:21Z,31.56
-18.700000,52.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,0.97
-18.800000,44.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,UNIMA 1,2025-03-14T07:00:00Z,2025-10-22T10:00:00Z,TRAWLERS,FISHING,647361210,,5RTK,2018-10-17T06:35:15Z,2026-06-09T19:34:33Z,31.78
-19.500000,49.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LAKSMI,2025-06-20T07:00:00Z,2025-11-02T09:00:00Z,DRIFTING_LONGLINES,FISHING,660000800,,FWYB,2012-01-05T05:33:21Z,2026-06-09T23:59:52Z,2.22
-22.900000,48.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,1.60
-20.700000,50.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,0.25
-15.700000,45.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,CAP SAINTE MARI,2025-09-19T11:00:00Z,2025-10-23T15:00:00Z,TRAWLERS,FISHING,647591306,,5RRQ,2022-03-13T12:22:26Z,2026-05-13T11:22:33Z,19.48
-27.600000,43.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",CHN,JINGYUAN616,2025-05-13T15:00:00Z,2025-05-15T13:00:00Z,INCONCLUSIVE,FISHING,412331052,9768291,BZSF2,2018-01-20T07:31:49Z,2026-06-09T23:59:51Z,0.83
-19.300000,49.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,4.52
-19.300000,49.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,1.95
-17.800000,50.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-07-12T08:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,2.18
-19.200000,42.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,0.41
-24.400000,48.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,5.00
-27.500000,46.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,2.94
-19.800000,49.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-07-12T08:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,7.03
-21.500000,49.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,2.18
-20.900000,50.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,2.17
-22.800000,48.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,1.37
-18.900000,44.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,UNIMA 1,2025-03-14T07:00:00Z,2025-10-22T10:00:00Z,TRAWLERS,FISHING,647361210,,5RTK,2018-10-17T06:35:15Z,2026-06-09T19:34:33Z,8.91
-18.900000,49.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-10-29T08:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,1.94
-16.700000,44.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,ZOVA 4,2025-03-01T07:00:00Z,2025-11-30T07:00:00Z,TRAWLERS,FISHING,647141304,,5RZP,2020-02-04T06:31:41Z,2026-03-20T08:46:21Z,154.89
-22.700000,48.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,10.40
-21.900000,48.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,1.99
-19.000000,49.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,0.87
-21.300000,49.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-07-12T08:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,4.03
-19.000000,49.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,3.57
-23.900000,49.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,4.96
-18.600000,51.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,3.13
-20.600000,50.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-07-20T11:00:00Z,2025-11-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,8589753,FLNQ,2025-07-19T02:10:00Z,2026-06-09T23:38:08Z,1.04
-22.200000,51.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,3.05
-20.300000,43.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,0.93
-22.200000,48.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,1.40
-13.700000,47.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",FRA,F/V GEVRED,2025-03-16T15:00:00Z,2025-04-23T13:00:00Z,TUNA_PURSE_SEINES,FISHING,228066900,9741097,FIUO,2015-12-01T18:11:22Z,2026-06-08T02:24:53Z,4.01
-21.200000,51.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP SUD,2025-05-17T12:00:00Z,2025-10-29T09:00:00Z,DRIFTING_LONGLINES,FISHING,660007400,8589454,FOSW,2022-03-22T10:27:49Z,2026-06-09T23:57:36Z,2.98
-20.900000,50.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-10-29T08:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,0.98
-16.700000,50.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",KEN,KNS SHUPAVU,2025-04-01T07:00:00Z,2025-04-06T09:00:00Z,INCONCLUSIVE,FISHING,634145000,9133135,5ZNO,2023-08-19T09:09:38Z,2026-05-25T08:27:59Z,0.20
-14.100000,47.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",FRA,CAP SAINT VINCENT,2025-02-04T17:00:00Z,2025-02-04T23:00:00Z,TUNA_PURSE_SEINES,FISHING,226169000,9225536,FIPP,2013-09-05T06:57:11Z,2026-06-09T23:26:30Z,2.92
-21.400000,51.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,1.13
-20.700000,49.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,13.73
-23.400000,51.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,0.98
-21.400000,51.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,1.00
-23.400000,48.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,5.59
-21.600000,49.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,6.99
-20.000000,51.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,0.51
-21.300000,50.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,1.32
-20.900000,49.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LAKSMI,2025-06-20T07:00:00Z,2025-11-02T09:00:00Z,DRIFTING_LONGLINES,FISHING,660000800,,FWYB,2012-01-05T05:33:21Z,2026-06-09T23:59:52Z,9.02
-21.400000,48.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,0.30
-22.000000,51.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE GRAND MORNE,2025-04-08T17:00:00Z,2025-11-22T00:00:00Z,DRIFTING_LONGLINES,FISHING,660000300,8589466,FOKZ,2022-03-10T05:23:35Z,2026-06-09T23:59:54Z,0.82
-19.000000,42.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,0.29
-24.800000,50.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,6.28
-19.100000,49.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,3.88
-19.800000,49.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,4.05
-20.400000,49.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,0.93
-24.900000,50.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,3.01
-18.300000,50.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP SUD,2025-05-17T12:00:00Z,2025-10-29T09:00:00Z,DRIFTING_LONGLINES,FISHING,660007400,8589454,FOSW,2022-03-22T10:27:49Z,2026-06-09T23:57:36Z,5.04
-21.900000,49.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,0.35
-21.300000,49.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LAKSMI,2025-06-20T07:00:00Z,2025-11-02T09:00:00Z,DRIFTING_LONGLINES,FISHING,660000800,,FWYB,2012-01-05T05:33:21Z,2026-06-09T23:59:52Z,9.55
-19.100000,50.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-07-12T08:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,2.37
-11.300000,49.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",SYC,ALTARRI,2025-01-31T06:00:00Z,2025-06-09T16:00:00Z,INCONCLUSIVE,FISHING,664000345,9265299,S7IB2,2024-11-18T04:02:29Z,2026-05-22T20:01:03Z,1.01
-20.000000,49.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-10-29T08:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,37.25
-19.600000,49.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,1.18
-23.500000,48.200001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,1.31
-20.700000,51.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP SUD,2025-05-17T12:00:00Z,2025-10-29T09:00:00Z,DRIFTING_LONGLINES,FISHING,660007400,8589454,FOSW,2022-03-22T10:27:49Z,2026-06-09T23:57:36Z,2.86
-16.900000,50.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-07-20T11:00:00Z,2025-11-30T23:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,8589753,FLNQ,2025-07-19T02:10:00Z,2026-06-09T23:38:08Z,2.42
-18.000000,50.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,2.93
-20.900000,49.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,4.01
-26.100000,46.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,1.07
-17.600000,50.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,0.55
-23.200000,50.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,0.46
-18.700000,49.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,8.68
-19.300000,49.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,0.70
-20.700000,50.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE MARIUS 3,2025-01-28T16:00:00Z,2025-10-29T08:00:00Z,DRIFTING_LONGLINES,FISHING,660001500,8589480,FZTW,2022-03-08T06:30:13Z,2026-06-08T12:03:37Z,3.17
-19.300000,49.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,1.39
-19.500000,44.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,UNIMA 2,2025-03-03T04:00:00Z,2025-10-23T13:00:00Z,TRAWLERS,FISHING,647361224,,5RTL,2019-02-27T05:26:22Z,2026-06-09T23:29:22Z,199.74
-27.800000,46.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,0.94
-19.500000,49.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,VETYVER 6,2025-01-11T17:00:00Z,2025-07-12T08:00:00Z,DRIFTING_LONGLINES,FISHING,660006800,,FLNQ,2017-09-07T05:15:01Z,2025-07-16T10:35:52Z,0.62
-27.800000,46.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,2.83
-20.200000,49.000000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,6.53
-15.100000,50.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,15.01
-22.500000,48.700001,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,2.50
-19.800000,49.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LAKSMI,2025-06-20T07:00:00Z,2025-11-02T09:00:00Z,DRIFTING_LONGLINES,FISHING,660000800,,FWYB,2012-01-05T05:33:21Z,2026-06-09T23:59:52Z,2.01
-19.800000,49.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LAKSMI,2025-06-20T07:00:00Z,2025-11-02T09:00:00Z,DRIFTING_LONGLINES,FISHING,660000800,,FWYB,2012-01-05T05:33:21Z,2026-06-09T23:59:52Z,5.14
-21.900000,48.799999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SARASWATI,2025-05-02T11:00:00Z,2025-10-31T12:00:00Z,DRIFTING_LONGLINES,FISHING,660003100,,FNLG,2012-01-01T05:01:47Z,2026-06-09T23:59:58Z,1.17
-19.500000,49.400002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,PARVATI,2025-04-11T11:00:00Z,2025-11-12T09:00:00Z,DRIFTING_LONGLINES,FISHING,660001400,8589296,FZSC,2024-01-05T17:05:09Z,2026-06-09T23:57:17Z,2.97
-22.900000,48.900002,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,CAP CLOE,2025-01-11T18:00:00Z,2025-11-17T04:00:00Z,DRIFTING_LONGLINES,FISHING,660007600,9184366,FOCU,2022-03-07T10:48:33Z,2026-06-01T21:34:33Z,6.97
-24.200000,48.500000,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,5.92
-15.700000,45.599998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",MDG,ZOVA 5,2025-08-09T12:00:00Z,2025-11-24T12:00:00Z,TRAWLERS,FISHING,647141305,,5RZ0,2020-02-04T06:33:36Z,2026-03-27T16:41:51Z,1.76
-20.700000,51.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,SAINTE-MARIE,2025-02-06T19:00:00Z,2025-10-13T21:00:00Z,DRIFTING_LONGLINES,FISHING,660006100,8589727,FQTW,2022-01-17T05:49:05Z,2026-06-09T23:57:54Z,4.05
-19.400000,42.099998,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",KOR,NO.211DONG WON,2025-01-16T18:00:00Z,2025-03-14T22:00:00Z,DRIFTING_LONGLINES,FISHING,440782000,8821541,6LCW,2012-01-01T00:00:11Z,2026-06-09T23:59:31Z,3.38
-24.200000,48.299999,"2025-01-01T00:00:00.000Z,2025-12-01T00:00:00.000Z",REU,LE BIGOUDEN,2025-04-03T17:00:00Z,2025-11-04T10:00:00Z,DRIFTING_LONGLINES,FISHING,660002700,9096569,FMKZ,2020-10-13T06:09:11Z,2026-06-09T23:59:19Z,5.54
